部門コード,部門略称,車番,適用日FROM,適用日TO,所属会社コード,所属会社略称,所属部門コード,所属部門略称,自車傭車区分,自車傭車区分名称,所属会社区分,変更内容,車種コード,車種略称,乗務員コード,乗務員名称,作業会社名称,積載区分,積載区分名称,配車区分,配車区分略称,配車配置区分,配車配置区分名称,配車配置順,登録番号１,登録番号２,登録番号３,登録番号４,車両登録年月日,初年度登録,自動車種別,用途,自・事の別,車体の形状,車名,通称車名,乗務定員１,乗務定員２,積載重量１,積載重量２,車両重量,車両総重量１,車両総重量２,車台番号,長さ,幅,高さ,前前軸重,前後軸重,後前軸重,後後軸重,型式,原動機の型式,総排気量,燃料の種類,燃料の種類略称,型式指定番号,類別区分番号,ポイント,備考,使用停止フラグ,登録日,登録時刻,登録社員コード,更新日,更新時刻,更新社員コード
"06","仙台営業所","827","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","あ","827","20160824","200707","2","2","1","01","03","","2","0","12800","0","8990","21900","0","CYY77Q6J-7000009","951","249","287","4390","0","2360","2240","PJ-CYY77Q6J","6UZ1","10","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","8828","20160316","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","071","z　ﾄﾗｸﾀ","","","","0","５tまで","999","なし","1","配車配置ボタンの対象とする","1","宮城","130","あ","8828","20120710","200709","2","1","1","03","07","","2","0","32660","0","7030","39800","0","GK4XAB-20926","555","249","296","4740","0","0","2290","PKG-GK4XAB","GE13","13","2","軽油","","","0","","1","20180718","230156","SYSTEM","20230220","084229","000001"
"02","小名浜営業所","885","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","800","か","885","20120731","201207","2","2","1","01","02","","2","0","12670","0","9180","21960","0","FR1APB-10381","945","249","304","4400","0","2830","1950","QKG-FR1APBG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","88888","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","099","その他","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","99991","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","099","その他","001018","青田　正一","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","99992","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","099","その他","001035","味戸　隆典","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","99999","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","099","その他","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"06","仙台営業所","A1246","20000101","99999999","00000     0600000","自社","06","仙台営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","宮城","830","あ","1246","20150630","201506","2","2","1","01","02","","2","0","11500","0","10240","21850","0","FR1APE-10278","973","249","286","4560","0","3360","2320","QPG-FR1APEG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","A3640","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","い","3640","20160923","201609","2","2","1","01","02","","2","0","12000","0","9720","21830","0","FR1APE-10626","945","249","292","4450","0","3130","2140","QPG-FR1APEG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","A700","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","う","700","20180607","201806","2","2","1","01","02","","2","0","12160","0","9640","21910","0","FR1AJ-100206","921","249","298","4670","0","2640","2330","2PG-FR1AJG","A09C","9","2","軽油","","","0","","0","20180718","230156","SYSTEM","20180718","230156","SYSTEM"
"02","小名浜営業所","A86","20000101","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","030","Ｎ　苛性","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","130","あ","86","20161012","201501","2","1","1","09","02","","2","0","13500","0","8310","21920","0","FR1APE-10168","954","249","283","4340","0","2350","1620","QPG-FR1APEG","A09C","9","2","軽油","","","0","","1","20180718","230156","SYSTEM","20190221","104944","000004"
"08","九州営業所","1827","20170120","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","800","か","1827","20170120","200606","2","2","1","01","07","","2","0","12000","0","9680","21790","0","CV2YL-00120","928","249","300","3330","3080","3080","0","ADG-CV2YL","MD92","0","2","軽油","","","0","","0","20180910","110411","000004","20180919","154118","000007"
"08","九州営業所","282","20170907","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","800","え","282","20170907","200809","2","2","1","02","06","","0","0","20800","0","5880","26680","0","ST26105D-11124","1178","249","303","0","0","2120","2120","ST26105D","","0","","","","","0","","0","20180910","110830","000004","20180920","095245","000007"
"08","九州営業所","9040","20170120","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","100","か","9040","20170120","201110","2","1","1","03","15","","2","2","32690","10300","6900","39700","17310","GK5XA-00975","555","249","296","4730","0","0","2170","LKG-GK5XAB","GH11","0","2","軽油","","","0","","0","20180910","111521","000004","20180920","095302","000007"
"08","九州営業所","2223","20180101","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","130","あ","2223","20131025","201310","2","1","1","03","15","","2","2","32930","10000","6820","39860","16930","GK5XA-11237","555","249","295","4640","0","0","2180","QKG-GK5XAB","GH11","0","2","軽油","","","0","","0","20180910","111954","000004","20180919","154152","000007"
"08","九州営業所","845","20160601","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","100","き","845","20160601","201606","2","1","1","03","02","","2","2","32640","10000","7190","39940","17300","SH1EDD-12990","552","249","297","4880","0","0","2310","QPG-SH1EDDG","E13C","0","2","軽油","","","0","","0","20180910","112723","000004","20180919","163304","000007"
"08","九州営業所","4108","20160330","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","100","え","4108","20160330","201603","2","1","1","08","09","","0","0","24000","0","6920","30920","0","CTB32002-0755","912","249","185","0","0","0","3780","CTB32002","","0","","","","","0","","0","20180910","113015","000004","20180920","095324","000007"
"08","九州営業所","2259","20160517","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","800","か","2259","20160517","200409","2","2","1","01","07","","2","0","11520","0","10100","21730","0","CV48E-30224","906","249","290","3690","3270","0","3140","KL-CV48E","GE13","0","2","軽油","","","0","","0","20180910","113327","000004","20180919","154135","000007"
"08","九州営業所","1470","20170621","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","100","き","1470","20170621","201706","2","1","1","03","02","","2","2","32780","10200","7090","39980","17400","SH1EDD-14981","552","249","299","4840","0","0","2250","QPG-SH1EDDG","E13C","0","2","軽油","","","0","","0","20180910","113615","000004","20180919","154057","000007"
"08","九州営業所","4419","20180424","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","100","え","4419","20180424","200801","2","1","1","08","13","","0","0","23800","0","4190","27990","0","KFKDH220-74167","1118","247","171","0","0","1600","1600","KFKDH220","","0","","","","","0","","0","20180910","113926","000004","20180920","095228","000007"
"08","九州営業所","2375","20180913","99999999","00000     0800000","自社","08","九州営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","北九州","800","か","2375","20180913","201809","2","2","1","01","02","","2","0","11700","0","10020","21830","0","FN1J-100335","928","249","299","3210","3720","0","3090","2PG-FN1AJG","A09C","0","2","軽油","","","0","","0","20180921","131614","000007","20180921","131614","000007"
"01","東京営業所","3326","20180906","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","072","Ｍ　メタノ","001052","銅谷和久","","","","999","なし","0","配車配置ボタンの対象としない","0","足立","800","か","3326","20180906","201809","2","2","1","01","01","","2","0","11700","0","10020","21830","0","FN1AJ-100345","928","249","299","3210","3720","0","3090","2PG-FN1AJG","A09C","886","2","軽油","","","0","","1","20180926","141030","000003","20191125","134707","000004"
"02","小名浜営業所","570","20180930","99999999","00000     0200000","自社","02","小名浜営業所","1","自車","1","","040","Ｓ　硫酸ﾊﾞ","","","","1","５t以上","999","なし","1","配車配置ボタンの対象とする","1","いわき","830","あ","570","20120304","200401","2","2","1","01","07","","2","0","12000","0","9780","21890","0","国[01]067965","935","247","300","4370","0","3210","2200","KL-CD48E","GE13","1307","2","軽油","","","0","","1","20181013","115540","000002","20220728","142909","000002"
"07","川崎営業所","77777","20180901","99999999","00000     0700000","自社","07","川崎営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","0","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20181115","133034","000004","20181115","133034","000004"
"01","東京営業所","3327","20180901","99999999","00000     0100000","自社","01","東京営業所","1","自車","1","","099","その他","","","","","","999","なし","1","配車配置ボタンの対象とする","1","","","","","","","","","","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","0","","","","","0","","0","20181023","161739","000003","20181023","161739","000003"
